"Exp";"ID";"Age";"Gender";"Choice";"Diff";"Imp";"Curr";"Heart1";"Heart2";"Heart3";"Prio1";"Prio2";"Prio3";"Prio4";"m1";"m2";"m3";"m4";"m5";"m6";"m7";"m8";"m9";"m10";"m11";"m12";"m13";"m14";"m15";"m16";"m17";"m18";"m19";"m20";"m21";"m22";"m23";"m24";"n1";"n2";"n3";"n4";"n5";"n6";"n7";"n8";"n9";"n10";"n11";"n12";"n13";"n14";"n15";"n16";"n17";"n18";"n19";"n20";"n21";"n22";"n23";"n24";"Memory";"SecPrio1";"SecPrio2";"SecPrio3";"SecPrio4";"ChoRem";"A1";"A2";"A3";"A4";"B1";"B2";"B3";"B4";"Active";"Influ";"Anm"
0,0000000000000000e+00;2,6000000000000000e+01;2,3000000000000000e+01;0,0000000000000000e+00;0,0000000000000000e+00;6,9000000000000000e+01;0,0000000000000000e+00;1,0000000000000000e+00;6,5000000000000000e+01;8,5000000000000000e+01;5,6000000000000000e+01;1,0000000000000000e+01;1,6000000000000000e+01;7,1000000000000000e+01;7,0000000000000000e+01;6,2000000000000000e+01;6,9000000000000000e+01;1,4000000000000000e+01;4,0000000000000000e+00;2,0000000000000000e+00;4,4000000000000000e+01;1,0000000000000000e+00;0,0000000000000000e+00;7,1000000000000000e+01;7,2000000000000000e+01;1,0000000000000000e+00;1,0000000000000000e+00;1,0000000000000000e+00;5,1000000000000000e+01;2,1000000000000000e+01;1,0000000000000000e+00;4,5000000000000000e+01;0,0000000000000000e+00;3,1000000000000000e+01;6,2000000000000000e+01;9,0000000000000000e+00;0,0000000000000000e+00;1,2000000000000000e+01;7,3000000000000000e+01;6,9000000000000000e+01;7,4000000000000000e+01;4,0000000000000000e+00;3,0000000000000000e+00;1,0000000000000000e+00;1,5000000000000000e+01;1,0000000000000000e+00;3,0000000000000000e+00;8,8000000000000000e+01;6,3000000000000000e+01;1,0000000000000000e+00;8,0000000000000000e+00;1,0000000000000000e+00;3,4000000000000000e+01;6,7000000000000000e+01;4,0000000000000000e+00;4,3000000000000000e+01;2,0000000000000000e+00;6,7000000000000000e+01;4,9000000000000000e+01;2,9000000000000000e+01;2,0000000000000000e+00;2,0000000000000000e+01;9,1000000000000000e+01;4,0000000000000000e+01;2,8000000000000000e+01;2,7000000000000000e+01;8,4000000000000000e+01;8,3000000000000000e+01;0,0000000000000000e+00;6,8000000000000000e+01;3,5000000000000000e+01;8,1000000000000000e+01;5,5000000000000000e+01;2,2000000000000000e+01;6,2000000000000000e+01;3,7000000000000000e+01;6,9000000000000000e+01;8,0000000000000000e+00;4,0000000000000000e+00;"Förväxlade A och B"
0,0000000000000000e+00;2,7000000000000000e+01;2,5000000000000000e+01;0,0000000000000000e+00;0,0000000000000000e+00;0,0000000000000000e+00;1,0000000000000000e+00;0,0000000000000000e+00;7,3000000000000000e+01;7,4000000000000000e+01;7,0000000000000000e+01;4,2000000000000000e+01;3,1000000000000000e+01;9,9000000000000000e+01;9,8000000000000000e+01;5,0000000000000000e+00;0,0000000000000000e+00;1,0000000000000000e+02;0,0000000000000000e+00;1,0000000000000000e+02;0,0000000000000000e+00;0,0000000000000000e+00;6,5000000000000000e+01;1,0000000000000000e+02;5,0000000000000000e+01;9,0000000000000000e+00;1,9000000000000000e+01;0,0000000000000000e+00;0,0000000000000000e+00;7,8000000000000000e+01;6,8000000000000000e+01;0,0000000000000000e+00;7,1000000000000000e+01;1,0000000000000000e+02;0,0000000000000000e+00;1,0000000000000000e+02;0,0000000000000000e+00;0,0000000000000000e+00;7,3000000000000000e+01;6,6000000000000000e+01;0,0000000000000000e+00;6,5000000000000000e+01;0,0000000000000000e+00;5,6000000000000000e+01;0,0000000000000000e+00;0,0000000000000000e+00;2,7000000000000000e+01;8,2000000000000000e+01;5,8000000000000000e+01;0,0000000000000000e+00;5,6000000000000000e+01;0,0000000000000000e+00;0,0000000000000000e+00;7,5000000000000000e+01;5,8000000000000000e+01;0,0000000000000000e+00;5,2000000000000000e+01;1,0000000000000000e+02;0,0000000000000000e+00;6,8000000000000000e+01;0,0000000000000000e+00;0,0000000000000000e+00;7,1000000000000000e+01;8,8000000000000000e+01;4,3000000000000000e+01;1,6000000000000000e+01;9,0000000000000000e+01;6,5000000000000000e+01;0,0000000000000000e+00;2,7000000000000000e+01;4,1000000000000000e+01;8,4000000000000000e+01;2,6000000000000000e+01;5,7000000000000000e+01;7,0000000000000000e+01;1,5000000000000000e+01;8,3000000000000000e+01;1,0000000000000000e+00;0,0000000000000000e+00;
0,0000000000000000e+00;2,8000000000000000e+01;2,1000000000000000e+01;0,0000000000000000e+00;0,0000000000000000e+00;1,7000000000000000e+01;1,0000000000000000e+00;0,0000000000000000e+00;9,2000000000000000e+01;6,8000000000000000e+01;8,5000000000000000e+01;4,7000000000000000e+01;6,5000000000000000e+01;9,8000000000000000e+01;5,1000000000000000e+01;8,3000000000000000e+01;7,8000000000000000e+01;2,0000000000000000e+01;3,0000000000000000e+00;7,1000000000000000e+01;4,8000000000000000e+01;2,0000000000000000e+00;2,0000000000000000e+01;8,6000000000000000e+01;6,8000000000000000e+01;7,0000000000000000e+00;2,8000000000000000e+01;1,0000000000000000e+01;7,9000000000000000e+01;8,7000000000000000e+01;3,2000000000000000e+01;6,8000000000000000e+01;4,9000000000000000e+01;8,1000000000000000e+01;6,2000000000000000e+01;3,2000000000000000e+01;4,0000000000000000e+00;2,0000000000000000e+00;7,1000000000000000e+01;8,1000000000000000e+01;7,0000000000000000e+01;3,3000000000000000e+01;3,0000000000000000e+00;5,2000000000000000e+01;7,1000000000000000e+01;1,0000000000000000e+01;2,1000000000000000e+01;7,9000000000000000e+01;6,8000000000000000e+01;2,3000000000000000e+01;4,5000000000000000e+01;1,8000000000000000e+01;7,2000000000000000e+01;4,7000000000000000e+01;4,9000000000000000e+01;8,1000000000000000e+01;4,1000000000000000e+01;3,9000000000000000e+01;7,4000000000000000e+01;4,6000000000000000e+01;8,0000000000000000e+00;1,7000000000000000e+01;8,5000000000000000e+01;8,9000000000000000e+01;6,0000000000000000e+01;5,3000000000000000e+01;9,1000000000000000e+01;3,8000000000000000e+01;1,0000000000000000e+00;5,3000000000000000e+01;4,6000000000000000e+01;1,6000000000000000e+01;7,8000000000000000e+01;7,4000000000000000e+01;5,2000000000000000e+01;8,9000000000000000e+01;3,3000000000000000e+01;1,1000000000000000e+01;7,8000000000000000e+01;"Onykter"
0,0000000000000000e+00;2,9000000000000000e+01;2,5000000000000000e+01;0,0000000000000000e+00;1,0000000000000000e+00;5,3000000000000000e+01;1,0000000000000000e+00;1,0000000000000000e+00;1,3800000000000000e+02;8,3000000000000000e+01;8,8000000000000000e+01;1,2000000000000000e+01;9,8000000000000000e+01;9,6000000000000000e+01;9,7000000000000000e+01;3,0000000000000000e+00;2,0000000000000000e+00;4,9000000000000000e+01;2,0000000000000000e+00;8,0000000000000000e+01;1,0000000000000000e+00;8,1000000000000000e+01;8,6000000000000000e+01;3,0000000000000000e+00;2,0000000000000000e+00;6,7000000000000000e+01;9,6000000000000000e+01;9,0000000000000000e+01;5,0000000000000000e+00;5,3000000000000000e+01;7,9000000000000000e+01;7,0000000000000000e+00;6,2000000000000000e+01;4,8000000000000000e+01;5,0000000000000000e+00;7,5000000000000000e+01;9,9000000000000000e+01;4,8000000000000000e+01;5,0000000000000000e+00;6,0000000000000000e+00;6,0000000000000000e+00;6,1000000000000000e+01;5,5000000000000000e+01;9,7000000000000000e+01;5,0000000000000000e+00;9,5000000000000000e+01;8,5000000000000000e+01;5,0000000000000000e+00;3,0000000000000000e+00;5,9000000000000000e+01;9,6000000000000000e+01;9,6000000000000000e+01;3,0000000000000000e+00;5,8000000000000000e+01;9,0000000000000000e+01;4,0000000000000000e+00;8,6000000000000000e+01;5,1000000000000000e+01;3,0000000000000000e+00;7,1000000000000000e+01;9,6000000000000000e+01;1,6000000000000000e+01;1,2000000000000000e+01;2,2000000000000000e+01;1,2000000000000000e+01;9,5000000000000000e+01;9,2000000000000000e+01;9,4000000000000000e+01;1,0000000000000000e+00;2,7000000000000000e+01;1,8000000000000000e+01;8,8000000000000000e+01;2,3000000000000000e+01;8,2000000000000000e+01;7,0000000000000000e+01;1,6000000000000000e+01;7,0000000000000000e+01;1,2000000000000000e+01;1,1000000000000000e+01;
1,0000000000000000e+00;1,6000000000000000e+01;2,4000000000000000e+01;0,0000000000000000e+00;0,0000000000000000e+00;8,1000000000000000e+01;1,0000000000000000e+00;0,0000000000000000e+00;7,6000000000000000e+01;7,3000000000000000e+01;7,8000000000000000e+01;9,0000000000000000e+01;5,5000000000000000e+01;7,2000000000000000e+01;2,3000000000000000e+01;7,7000000000000000e+01;7,6000000000000000e+01;1,2000000000000000e+01;2,0000000000000000e+00;5,0000000000000000e+00;4,7000000000000000e+01;8,0000000000000000e+00;7,0000000000000000e+00;7,8000000000000000e+01;3,1000000000000000e+01;2,0000000000000000e+00;3,0000000000000000e+00;2,0000000000000000e+00;4,8000000000000000e+01;8,0000000000000000e+01;8,0000000000000000e+00;1,0000000000000000e+00;1,0000000000000000e+01;9,6000000000000000e+01;7,5000000000000000e+01;3,7000000000000000e+01;1,0000000000000000e+00;2,0000000000000000e+00;7,5000000000000000e+01;6,8000000000000000e+01;9,1000000000000000e+01;1,7000000000000000e+01;2,0000000000000000e+00;2,0000000000000000e+00;5,0000000000000000e+01;4,0000000000000000e+00;4,0000000000000000e+00;5,0000000000000000e+01;6,9000000000000000e+01;7,0000000000000000e+00;1,2000000000000000e+01;3,0000000000000000e+00;6,1000000000000000e+01;5,2000000000000000e+01;2,0000000000000000e+00;1,7000000000000000e+01;5,0000000000000000e+00;7,5000000000000000e+01;4,1000000000000000e+01;3,0000000000000000e+00;4,0000000000000000e+00;2,8000000000000000e+01;5,7000000000000000e+01;6,8000000000000000e+01;6,2000000000000000e+01;6,8000000000000000e+01;7,9000000000000000e+01;1,3000000000000000e+01;0,0000000000000000e+00;5,2000000000000000e+01;4,3000000000000000e+01;7,4000000000000000e+01;2,3000000000000000e+01;7,2000000000000000e+01;8,3000000000000000e+01;3,6000000000000000e+01;5,6000000000000000e+01;1,0000000000000000e+01;9,0000000000000000e+00;
1,0000000000000000e+00;1,7000000000000000e+01;2,4000000000000000e+01;1,0000000000000000e+00;0,0000000000000000e+00;1,0000000000000000e+01;1,0000000000000000e+00;0,0000000000000000e+00;5,6000000000000000e+01;6,1000000000000000e+01;7,9000000000000000e+01;2,3000000000000000e+01;3,4000000000000000e+01;5,5000000000000000e+01;2,9000000000000000e+01;8,1000000000000000e+01;6,2000000000000000e+01;1,7000000000000000e+01;4,4000000000000000e+01;4,7000000000000000e+01;2,5000000000000000e+01;3,2000000000000000e+01;1,5000000000000000e+01;2,2000000000000000e+01;3,9000000000000000e+01;5,6000000000000000e+01;2,2000000000000000e+01;2,4000000000000000e+01;9,5000000000000000e+01;1,3000000000000000e+01;5,8000000000000000e+01;1,2000000000000000e+01;7,2000000000000000e+01;3,8000000000000000e+01;7,5000000000000000e+01;4,0000000000000000e+01;2,6000000000000000e+01;2,8000000000000000e+01;2,5000000000000000e+01;6,6000000000000000e+01;5,4000000000000000e+01;1,7000000000000000e+01;3,7000000000000000e+01;2,5000000000000000e+01;1,8000000000000000e+01;2,7000000000000000e+01;2,5000000000000000e+01;5,5000000000000000e+01;4,5000000000000000e+01;2,6000000000000000e+01;2,7000000000000000e+01;2,0000000000000000e+01;6,0000000000000000e+01;3,0000000000000000e+01;2,2000000000000000e+01;2,4000000000000000e+01;4,5000000000000000e+01;3,3000000000000000e+01;3,5000000000000000e+01;2,4000000000000000e+01;2,0000000000000000e+00;2,2000000000000000e+01;2,4000000000000000e+01;2,5000000000000000e+01;1,1000000000000000e+01;3,6000000000000000e+01;7,7000000000000000e+01;3,4000000000000000e+01;0,0000000000000000e+00;8,6000000000000000e+01;3,0000000000000000e+01;6,9000000000000000e+01;4,1000000000000000e+01;8,8000000000000000e+01;5,8000000000000000e+01;1,1000000000000000e+01;8,6000000000000000e+01;7,3000000000000000e+01;6,7000000000000000e+01;
1,0000000000000000e+00;1,8000000000000000e+01;2,6000000000000000e+01;0,0000000000000000e+00;1,0000000000000000e+00;0,0000000000000000e+00;1,0000000000000000e+00;0,0000000000000000e+00;7,9000000000000000e+01;7,5000000000000000e+01;8,7000000000000000e+01;9,2000000000000000e+01;2,6000000000000000e+01;5,5000000000000000e+01;9,1000000000000000e+01;6,2000000000000000e+01;6,2000000000000000e+01;1,5000000000000000e+01;5,0000000000000000e+00;1,0000000000000000e+01;6,3000000000000000e+01;0,0000000000000000e+00;2,3000000000000000e+01;6,0000000000000000e+01;6,9000000000000000e+01;4,6000000000000000e+01;2,3000000000000000e+01;1,4000000000000000e+01;6,8000000000000000e+01;6,8000000000000000e+01;1,0000000000000000e+01;5,9000000000000000e+01;1,6000000000000000e+01;5,8000000000000000e+01;5,9000000000000000e+01;1,1000000000000000e+01;0,0000000000000000e+00;4,7000000000000000e+01;7,3000000000000000e+01;4,0000000000000000e+00;6,8000000000000000e+01;2,0000000000000000e+00;1,5000000000000000e+01;7,1000000000000000e+01;1,7000000000000000e+01;3,4000000000000000e+01;4,8000000000000000e+01;2,7000000000000000e+01;0,0000000000000000e+00;8,5000000000000000e+01;4,5000000000000000e+01;5,0000000000000000e+01;4,9000000000000000e+01;8,0000000000000000e+00;6,7000000000000000e+01;9,0000000000000000e+00;7,1000000000000000e+01;9,0000000000000000e+00;2,3000000000000000e+01;3,7000000000000000e+01;7,5000000000000000e+01;7,5000000000000000e+01;5,2000000000000000e+01;7,9000000000000000e+01;9,6000000000000000e+01;7,3000000000000000e+01;3,5000000000000000e+01;5,6000000000000000e+01;1,0000000000000000e+00;2,9000000000000000e+01;4,9000000000000000e+01;7,5000000000000000e+01;7,5000000000000000e+01;6,7000000000000000e+01;4,7000000000000000e+01;4,5000000000000000e+01;3,3000000000000000e+01;7,3000000000000000e+01;0,0000000000000000e+00;
1,0000000000000000e+00;1,9000000000000000e+01;2,3000000000000000e+01;1,0000000000000000e+00;1,0000000000000000e+00;2,8000000000000000e+01;1,0000000000000000e+00;0,0000000000000000e+00;7,2000000000000000e+01;7,0000000000000000e+01;7,3000000000000000e+01;3,8000000000000000e+01;2,9000000000000000e+01;4,8000000000000000e+01;9,6000000000000000e+01;6,2000000000000000e+01;4,3000000000000000e+01;3,2000000000000000e+01;0,0000000000000000e+00;2,1000000000000000e+01;1,7000000000000000e+01;0,0000000000000000e+00;0,0000000000000000e+00;7,0000000000000000e+01;4,0000000000000000e+01;3,0000000000000000e+01;7,0000000000000000e+00;1,0000000000000000e+00;3,3000000000000000e+01;4,3000000000000000e+01;7,0000000000000000e+00;4,6000000000000000e+01;0,0000000000000000e+00;5,9000000000000000e+01;3,9000000000000000e+01;4,3000000000000000e+01;1,0000000000000000e+00;1,0000000000000000e+00;4,4000000000000000e+01;5,1000000000000000e+01;4,1000000000000000e+01;1,3000000000000000e+01;9,0000000000000000e+00;7,0000000000000000e+00;1,7000000000000000e+01;1,0000000000000000e+00;1,0000000000000000e+00;4,8000000000000000e+01;3,6000000000000000e+01;2,0000000000000000e+01;1,5000000000000000e+01;2,0000000000000000e+00;3,1000000000000000e+01;3,3000000000000000e+01;5,0000000000000000e+00;3,1000000000000000e+01;2,0000000000000000e+00;3,6000000000000000e+01;3,1000000000000000e+01;2,4000000000000000e+01;1,0000000000000000e+00;2,2000000000000000e+01;3,1000000000000000e+01;6,1000000000000000e+01;7,5000000000000000e+01;2,3000000000000000e+01;3,0000000000000000e+01;9,3000000000000000e+01;1,0000000000000000e+00;5,2000000000000000e+01;5,7000000000000000e+01;8,3000000000000000e+01;1,4000000000000000e+01;6,6000000000000000e+01;4,9000000000000000e+01;4,6000000000000000e+01;7,1000000000000000e+01;4,1000000000000000e+01;6,0000000000000000e+01;
1,0000000000000000e+00;2,0000000000000000e+01;2,0000000000000000e+01;1,0000000000000000e+00;1,0000000000000000e+00;0,0000000000000000e+00;1,0000000000000000e+00;0,0000000000000000e+00;8,4000000000000000e+01;6,0000000000000000e+01;7,7000000000000000e+01;9,7000000000000000e+01;1,7000000000000000e+01;4,2000000000000000e+01;6,7000000000000000e+01;2,5000000000000000e+01;3,5000000000000000e+01;7,7000000000000000e+01;3,0000000000000000e+00;2,2000000000000000e+01;8,0000000000000000e+00;9,4000000000000000e+01;7,6000000000000000e+01;4,1000000000000000e+01;3,0000000000000000e+01;4,7000000000000000e+01;2,9000000000000000e+01;7,7000000000000000e+01;3,2000000000000000e+01;9,3000000000000000e+01;5,0000000000000000e+01;1,3000000000000000e+01;6,9000000000000000e+01;9,4000000000000000e+01;4,5000000000000000e+01;9,0000000000000000e+01;9,5000000000000000e+01;2,4000000000000000e+01;5,1000000000000000e+01;4,5000000000000000e+01;6,2000000000000000e+01;3,2000000000000000e+01;9,0000000000000000e+00;8,0000000000000000e+01;5,2000000000000000e+01;9,3000000000000000e+01;9,0000000000000000e+01;3,0000000000000000e+01;6,1000000000000000e+01;2,5000000000000000e+01;4,3000000000000000e+01;7,7000000000000000e+01;6,2000000000000000e+01;7,0000000000000000e+01;7,1000000000000000e+01;5,8000000000000000e+01;5,4000000000000000e+01;7,7000000000000000e+01;5,1000000000000000e+01;8,0000000000000000e+01;8,3000000000000000e+01;4,8000000000000000e+01;4,7000000000000000e+01;7,5000000000000000e+01;9,8000000000000000e+01;5,2000000000000000e+01;4,0000000000000000e+00;2,3000000000000000e+01;1,0000000000000000e+00;1,4000000000000000e+01;5,7000000000000000e+01;6,8000000000000000e+01;5,3000000000000000e+01;9,5000000000000000e+01;2,3000000000000000e+01;3,1000000000000000e+01;3,8000000000000000e+01;8,3000000000000000e+01;4,5000000000000000e+01;
1,0000000000000000e+00;2,1000000000000000e+01;2,3000000000000000e+01;0,0000000000000000e+00;0,0000000000000000e+00;8,8000000000000000e+01;1,0000000000000000e+00;0,0000000000000000e+00;6,2000000000000000e+01;5,8000000000000000e+01;6,5000000000000000e+01;8,3000000000000000e+01;7,4000000000000000e+01;9,4000000000000000e+01;9,5000000000000000e+01;5,3000000000000000e+01;6,2000000000000000e+01;2,4000000000000000e+01;6,5000000000000000e+01;6,5000000000000000e+01;6,6000000000000000e+01;5,0000000000000000e+00;5,0000000000000000e+01;4,0000000000000000e+01;5,1000000000000000e+01;7,8000000000000000e+01;5,2000000000000000e+01;4,9000000000000000e+01;4,8000000000000000e+01;7,2000000000000000e+01;6,0000000000000000e+00;2,6000000000000000e+01;5,8000000000000000e+01;5,0000000000000000e+01;3,0000000000000000e+00;4,7000000000000000e+01;4,9000000000000000e+01;6,3000000000000000e+01;5,2000000000000000e+01;5,2000000000000000e+01;5,2000000000000000e+01;6,9000000000000000e+01;3,1000000000000000e+01;5,1000000000000000e+01;1,0000000000000000e+01;1,0000000000000000e+01;9,0000000000000000e+00;4,9000000000000000e+01;9,0000000000000000e+00;1,0000000000000000e+01;5,0000000000000000e+01;8,0000000000000000e+00;7,0000000000000000e+00;6,4000000000000000e+01;5,1000000000000000e+01;5,1000000000000000e+01;2,8000000000000000e+01;6,8000000000000000e+01;5,2000000000000000e+01;7,4000000000000000e+01;5,0000000000000000e+00;4,7000000000000000e+01;3,2000000000000000e+01;2,2000000000000000e+01;8,4000000000000000e+01;7,7000000000000000e+01;9,5000000000000000e+01;9,0000000000000000e+01;0,0000000000000000e+00;3,3000000000000000e+01;2,2000000000000000e+01;9,1000000000000000e+01;5,9000000000000000e+01;7,8000000000000000e+01;4,8000000000000000e+01;1,9000000000000000e+01;5,2000000000000000e+01;7,3000000000000000e+01;9,0000000000000000e+00;"Förväxlade A och B"
1,0000000000000000e+00;2,2000000000000000e+01;2,1000000000000000e+01;1,0000000000000000e+00;1,0000000000000000e+00;5,0000000000000000e+01;1,0000000000000000e+00;0,0000000000000000e+00;6,6000000000000000e+01;6,5000000000000000e+01;7,1000000000000000e+01;7,5000000000000000e+01;1,0000000000000000e+00;5,7000000000000000e+01;9,4000000000000000e+01;7,7000000000000000e+01;7,7000000000000000e+01;2,0000000000000000e+00;8,0000000000000000e+00;1,0000000000000000e+00;7,6000000000000000e+01;1,1000000000000000e+01;4,7000000000000000e+01;7,5000000000000000e+01;8,3000000000000000e+01;1,2000000000000000e+01;0,0000000000000000e+00;0,0000000000000000e+00;5,6000000000000000e+01;3,9000000000000000e+01;0,0000000000000000e+00;5,1000000000000000e+01;1,7000000000000000e+01;4,2000000000000000e+01;3,2000000000000000e+01;4,5000000000000000e+01;1,0000000000000000e+00;3,3000000000000000e+01;6,3000000000000000e+01;7,4000000000000000e+01;7,5000000000000000e+01;2,5000000000000000e+01;0,0000000000000000e+00;0,0000000000000000e+00;7,6000000000000000e+01;1,0000000000000000e+01;1,7000000000000000e+01;8,4000000000000000e+01;6,2000000000000000e+01;2,2000000000000000e+01;1,0000000000000000e+00;1,0000000000000000e+00;5,3000000000000000e+01;6,1000000000000000e+01;1,0000000000000000e+00;4,8000000000000000e+01;0,0000000000000000e+00;6,3000000000000000e+01;4,0000000000000000e+01;1,2000000000000000e+01;2,0000000000000000e+00;3,3000000000000000e+01;8,0000000000000000e+01;6,8000000000000000e+01;5,1000000000000000e+01;2,0000000000000000e+00;7,3000000000000000e+01;7,4000000000000000e+01;1,0000000000000000e+00;5,3000000000000000e+01;8,3000000000000000e+01;8,6000000000000000e+01;2,0000000000000000e+01;8,8000000000000000e+01;3,0000000000000000e+01;7,0000000000000000e+00;8,9000000000000000e+01;2,4000000000000000e+01;2,7000000000000000e+01;
1,0000000000000000e+00;2,3000000000000000e+01;2,3000000000000000e+01;1,0000000000000000e+00;1,0000000000000000e+00;1,1000000000000000e+01;1,0000000000000000e+00;0,0000000000000000e+00;7,1000000000000000e+01;6,4000000000000000e+01;6,3000000000000000e+01;9,3000000000000000e+01;7,8000000000000000e+01;7,7000000000000000e+01;8,0000000000000000e+01;7,5000000000000000e+01;1,0000000000000000e+01;7,5000000000000000e+01;0,0000000000000000e+00;7,8000000000000000e+01;2,0000000000000000e+01;1,0000000000000000e+00;1,6000000000000000e+01;8,5000000000000000e+01;2,0000000000000000e+00;1,0000000000000000e+00;5,0000000000000000e+01;0,0000000000000000e+00;2,5000000000000000e+01;8,0000000000000000e+01;8,1000000000000000e+01;1,0000000000000000e+01;5,9000000000000000e+01;6,5000000000000000e+01;6,0000000000000000e+00;9,4000000000000000e+01;5,0000000000000000e+00;1,0000000000000000e+01;6,1000000000000000e+01;7,8000000000000000e+01;1,3000000000000000e+01;5,2000000000000000e+01;2,2000000000000000e+01;6,4000000000000000e+01;4,0000000000000000e+00;1,0000000000000000e+00;4,4000000000000000e+01;7,2000000000000000e+01;2,3000000000000000e+01;8,0000000000000000e+00;7,5000000000000000e+01;1,0000000000000000e+00;1,6000000000000000e+01;5,8000000000000000e+01;5,9000000000000000e+01;2,0000000000000000e+01;6,2000000000000000e+01;6,2000000000000000e+01;1,5000000000000000e+01;9,5000000000000000e+01;0,0000000000000000e+00;3,1000000000000000e+01;7,8000000000000000e+01;8,0000000000000000e+01;9,4000000000000000e+01;6,3000000000000000e+01;7,6000000000000000e+01;7,5000000000000000e+01;1,0000000000000000e+00;2,3000000000000000e+01;4,1000000000000000e+01;6,0000000000000000e+01;4,2000000000000000e+01;6,3000000000000000e+01;7,0000000000000000e+01;3,6000000000000000e+01;6,0000000000000000e+01;2,0000000000000000e+01;4,8000000000000000e+01;
1,0000000000000000e+00;2,4000000000000000e+01;2,2000000000000000e+01;0,0000000000000000e+00;1,0000000000000000e+00;1,4000000000000000e+01;1,0000000000000000e+00;1,0000000000000000e+00;7,3000000000000000e+01;8,2000000000000000e+01;7,3000000000000000e+01;8,3000000000000000e+01;6,0000000000000000e+01;5,6000000000000000e+01;8,0000000000000000e+01;7,2000000000000000e+01;7,8000000000000000e+01;1,9000000000000000e+01;1,5000000000000000e+01;4,1000000000000000e+01;3,0000000000000000e+01;1,3000000000000000e+01;1,3000000000000000e+01;5,3000000000000000e+01;6,1000000000000000e+01;1,6000000000000000e+01;2,7000000000000000e+01;1,1000000000000000e+01;5,8000000000000000e+01;7,6000000000000000e+01;3,8000000000000000e+01;2,2000000000000000e+01;1,0000000000000000e+00;7,3000000000000000e+01;2,5000000000000000e+01;4,6000000000000000e+01;1,6000000000000000e+01;1,0000000000000000e+01;7,8000000000000000e+01;6,6000000000000000e+01;7,2000000000000000e+01;2,7000000000000000e+01;1,8000000000000000e+01;4,5000000000000000e+01;3,6000000000000000e+01;2,6000000000000000e+01;2,4000000000000000e+01;7,1000000000000000e+01;5,7000000000000000e+01;9,0000000000000000e+00;3,0000000000000000e+01;2,0000000000000000e+01;3,3000000000000000e+01;5,7000000000000000e+01;2,2000000000000000e+01;4,3000000000000000e+01;3,0000000000000000e+00;7,9000000000000000e+01;4,7000000000000000e+01;2,5000000000000000e+01;1,8000000000000000e+01;1,7000000000000000e+01;7,5000000000000000e+01;2,9000000000000000e+01;7,5000000000000000e+01;6,8000000000000000e+01;3,5000000000000000e+01;7,2000000000000000e+01;1,0000000000000000e+00;3,1000000000000000e+01;5,2000000000000000e+01;6,8000000000000000e+01;5,2000000000000000e+01;7,3000000000000000e+01;6,1000000000000000e+01;2,8000000000000000e+01;5,8000000000000000e+01;2,4000000000000000e+01;2,1000000000000000e+01;
1,0000000000000000e+00;2,5000000000000000e+01;2,2000000000000000e+01;0,0000000000000000e+00;0,0000000000000000e+00;3,0000000000000000e+00;1,0000000000000000e+00;1,0000000000000000e+00;7,2000000000000000e+01;8,0000000000000000e+01;6,6000000000000000e+01;2,0000000000000000e+00;2,5000000000000000e+01;9,8000000000000000e+01;6,9000000000000000e+01;5,6000000000000000e+01;2,3000000000000000e+01;5,3000000000000000e+01;1,1000000000000000e+01;3,1000000000000000e+01;9,0000000000000000e+00;2,9000000000000000e+01;4,7000000000000000e+01;4,6000000000000000e+01;2,0000000000000000e+00;6,7000000000000000e+01;6,6000000000000000e+01;9,1000000000000000e+01;9,1000000000000000e+01;2,2000000000000000e+01;4,0000000000000000e+00;1,7000000000000000e+01;4,8000000000000000e+01;3,5000000000000000e+01;3,5000000000000000e+01;8,0000000000000000e+01;8,0000000000000000e+01;1,3000000000000000e+01;5,2000000000000000e+01;4,7000000000000000e+01;6,0000000000000000e+01;4,0000000000000000e+00;5,0000000000000000e+01;6,7000000000000000e+01;1,6000000000000000e+01;7,1000000000000000e+01;8,7000000000000000e+01;1,9000000000000000e+01;4,5000000000000000e+01;6,2000000000000000e+01;4,5000000000000000e+01;5,2000000000000000e+01;3,8000000000000000e+01;1,9000000000000000e+01;9,8000000000000000e+01;3,3000000000000000e+01;3,0000000000000000e+01;2,1000000000000000e+01;1,5000000000000000e+01;5,2000000000000000e+01;7,7000000000000000e+01;4,8000000000000000e+01;2,0000000000000000e+00;7,6000000000000000e+01;6,0000000000000000e+00;3,0000000000000000e+01;9,2000000000000000e+01;6,1000000000000000e+01;0,0000000000000000e+00;1,4000000000000000e+01;3,6000000000000000e+01;8,3000000000000000e+01;6,4000000000000000e+01;6,7000000000000000e+01;8,6000000000000000e+01;4,3000000000000000e+01;3,1000000000000000e+01;5,1000000000000000e+01;3,1000000000000000e+01;
